date,Pellegrini Peter,Korčok Ivan,Kubiš Ján,Fico Robert,Mistrík Robert,Žilinka Maroš,Lajčák Miroslav
21. 6. 23,20.2,42.2,9.8,10.1,7.7,3.4,6.7
22. 6. 23,21.3,41.6,9.6,10.0,7.6,3.2,6.7
23. 6. 23,22.8,40.8,9.4,9.8,7.4,3.2,6.5
24. 6. 23,22.8,40.8,9.4,9.8,7.4,3.2,6.5
25. 6. 23,22.8,40.8,9.4,9.8,7.4,3.2,6.5
26. 6. 23,22.8,40.8,9.4,9.8,7.4,3.2,6.5
27. 6. 23,22.8,40.8,9.4,9.8,7.4,3.2,6.5
28. 6. 23,22.2,40.4,8.9,10.3,8.9,2.7,6.7
29. 6. 23,22.7,41.2,9.4,10.1,7.0,2.9,6.8
30. 6. 23,23.2,41.5,9.9,9.6,5.8,3.4,6.6
1. 7. 23,23.2,41.5,9.9,9.6,5.8,3.4,6.6
2. 7. 23,23.2,41.5,9.9,9.6,5.8,3.4,6.6
3. 7. 23,23.2,41.5,9.9,9.6,5.8,3.4,6.6
4. 7. 23,23.2,41.5,9.9,9.6,5.8,3.4,6.6
5. 7. 23,23.2,41.5,9.9,9.6,5.8,3.4,6.6
6. 7. 23,23.5,41.5,9.7,9.4,5.9,3.6,6.5
7. 7. 23,23.5,41.5,9.7,9.4,5.9,3.6,6.5
8. 7. 23,23.5,41.5,9.7,9.4,5.9,3.6,6.5
9. 7. 23,23.5,41.5,9.7,9.4,5.9,3.6,6.5
10. 7. 23,23.7,41.2,9.8,9.2,5.9,3.6,6.5
11. 7. 23,23.9,41.0,9.9,9.0,6.0,3.6,6.6
12. 7. 23,23.9,41.0,9.9,9.0,6.0,3.6,6.6
13. 7. 23,23.9,41.0,9.9,9.0,6.0,3.6,6.6
14. 7. 23,23.9,41.0,9.9,9.0,6.0,3.6,6.6
15. 7. 23,24.4,40.6,9.9,9.0,6.0,3.6,6.4
16. 7. 23,24.4,40.6,9.9,9.0,6.0,3.6,6.4
17. 7. 23,24.4,40.6,9.9,9.0,6.0,3.6,6.4
18. 7. 23,24.4,40.6,9.9,9.0,6.0,3.6,6.4
19. 7. 23,24.4,40.6,9.9,9.0,6.0,3.6,6.4
20. 7. 23,24.4,40.6,9.9,9.0,6.0,3.6,6.4
21. 7. 23,24.4,40.6,9.9,9.0,6.0,3.6,6.4
22. 7. 23,24.4,40.6,9.9,9.0,6.0,3.6,6.4
23. 7. 23,24.4,40.6,9.9,9.0,6.0,3.6,6.4
24. 7. 23,24.4,40.6,9.9,9.0,6.0,3.6,6.4
25. 7. 23,24.4,40.6,9.9,9.0,6.0,3.6,6.4
26. 7. 23,24.4,40.6,9.9,9.0,6.0,3.6,6.4
27. 7. 23,24.4,40.6,9.9,9.0,6.0,3.6,6.4
28. 7. 23,24.4,40.6,9.9,9.0,6.0,3.6,6.4
29. 7. 23,25.1,40.4,9.7,9.1,6.1,4.0,5.6
30. 7. 23,25.1,40.4,9.7,9.1,6.1,4.0,5.6
31. 7. 23,25.1,40.4,9.7,9.1,6.1,4.0,5.6
1. 8. 23,25.1,40.4,9.7,9.1,6.1,4.0,5.6
2. 8. 23,25.1,40.4,9.7,9.1,6.1,4.0,5.6
3. 8. 23,25.1,40.4,9.7,9.1,6.1,4.0,5.6
4. 8. 23,29.0,40.3,8.5,7.6,5.6,4.0,4.8
5. 8. 23,29.0,40.3,8.5,7.6,5.6,4.0,4.8
6. 8. 23,29.0,40.3,8.5,7.6,5.6,4.0,4.8
7. 8. 23,29.0,40.3,8.5,7.6,5.6,4.0,4.8
9. 8. 23,29.0,40.3,8.5,7.6,5.6,4.0,4.8
10. 8. 23,29.0,40.3,8.5,7.6,5.6,4.0,4.8
11. 8. 23,29.0,40.3,8.5,7.6,5.6,4.0,4.8
12. 8. 23,29.0,40.3,8.5,7.6,5.6,4.0,4.8
13. 8. 23,29.0,40.3,8.5,7.6,5.6,4.0,4.8
14. 8. 23,29.0,40.3,8.5,7.6,5.6,4.0,4.8
15. 8. 23,29.0,40.3,8.5,7.6,5.6,4.0,4.8
16. 8. 23,29.0,40.3,8.5,7.6,5.6,4.0,4.8
18. 8. 23,26.4,40.6,9.4,8.3,5.8,3.6,6.0
19. 8. 23,26.9,37.8,15.5,7.0,5.4,3.9,3.5
21. 8. 23,26.9,37.8,15.5,7.0,5.4,3.9,3.5
22. 8. 23,26.9,37.8,15.5,7.0,5.4,3.9,3.5
23. 8. 23,26.9,37.8,15.5,7.0,5.4,3.9,3.5
24. 8. 23,26.9,37.8,15.5,7.0,5.4,3.9,3.5
27. 8. 23,26.9,37.8,15.5,7.0,5.4,3.9,3.5
28. 8. 23,27.0,38.3,15.3,6.9,5.3,3.8,3.4
29. 8. 23,27.1,38.7,15.1,6.8,5.2,3.8,3.4
30. 8. 23,25.0,40.9,15.0,6.8,5.2,3.8,3.4
31. 8. 23,24.1,44.3,14.5,5.7,5.3,3.4,2.7
1. 9. 23,24.1,44.3,14.5,5.7,5.3,3.4,2.7
2. 9. 23,24.4,43.4,14.8,6.3,4.9,3.4,2.7
3. 9. 23,24.8,42.6,15.1,6.8,4.5,3.4,2.7
4. 9. 23,23.9,45.5,14.4,5.2,5.2,3.4,2.3
5. 9. 23,23.9,45.5,14.4,5.2,5.2,3.4,2.3
6. 9. 23,23.9,45.5,14.4,5.2,5.2,3.4,2.3
7. 9. 23,23.9,45.5,14.4,5.2,5.2,3.4,2.3
8. 9. 23,23.9,45.5,14.4,5.2,5.2,3.4,2.3
9. 9. 23,23.9,45.5,14.4,5.2,5.2,3.4,2.3
10. 9. 23,23.9,45.5,14.4,5.2,5.2,3.4,2.3
11. 9. 23,23.9,45.5,14.4,5.2,5.2,3.4,2.3
12. 9. 23,23.9,45.5,14.4,5.2,5.2,3.4,2.3
13. 9. 23,23.9,45.5,14.4,5.2,5.2,3.4,2.3
14. 9. 23,24.4,44.0,14.8,6.0,4.9,3.4,2.5
15. 9. 23,24.4,44.0,14.8,6.0,4.9,3.4,2.5
16. 9. 23,23.9,45.5,14.4,5.2,5.2,3.4,2.3
17. 9. 23,24.4,44.0,14.8,6.0,4.9,3.4,2.5
18. 9. 23,24.0,45.6,14.1,5.3,5.0,3.8,2.3
19. 9. 23,24.0,45.6,13.7,5.3,4.6,4.6,2.3
20. 9. 23,24.0,45.6,13.7,5.3,4.6,4.6,2.3
21. 9. 23,24.4,44.1,14.4,6.0,4.6,4.0,2.5
22. 9. 23,24.0,45.6,13.7,5.3,4.6,4.6,2.3
23. 9. 23,24.0,45.6,13.7,5.3,4.6,4.6,2.3
24. 9. 23,24.0,45.6,13.7,5.3,4.6,4.6,2.3
25. 9. 23,24.0,45.6,13.7,5.3,4.6,4.6,2.3
26. 9. 23,24.4,44.1,14.4,6.0,4.6,4.0,2.5
27. 9. 23,24.4,44.1,14.4,6.0,4.6,4.0,2.5
28. 9. 23,24.0,45.6,13.7,5.3,4.6,4.6,2.3
29. 9. 23,24.4,44.1,14.4,6.0,4.6,4.0,2.5
30. 9. 23,24.4,44.1,14.4,6.0,4.6,4.0,2.5
1. 10. 23,26.2,45.6,11.5,5.9,4.2,4.4,2.2
2. 10. 23,25.6,43.7,13.6,6.7,4.3,3.8,2.4
3. 10. 23,25.6,43.7,13.6,6.7,4.3,3.8,2.4
4. 10. 23,25.6,43.7,13.6,6.7,4.3,3.8,2.4
5. 10. 23,25.8,43.7,13.5,6.6,4.3,3.8,2.4
6. 10. 23,29.0,43.1,12.0,5.6,4.2,3.6,2.4
7. 10. 23,30.9,43.1,10.9,5.1,4.1,3.7,2.3
8. 10. 23,30.9,43.1,10.9,5.1,4.1,3.7,2.3
9. 10. 23,30.9,43.1,10.9,5.1,4.1,3.7,2.3
10. 10. 23,31.5,42.8,11.2,5.0,4.0,3.5,2.2
11. 10. 23,34.8,41.3,10.3,4.6,3.8,3.2,2.0
12. 10. 23,36.4,40.7,10.1,4.3,3.6,3.1,2.0
13. 10. 23,36.7,40.7,10.1,4.3,3.5,2.9,1.9
14. 10. 23,36.7,40.7,10.1,4.3,3.5,2.9,1.9
15. 10. 23,36.7,40.7,10.1,4.3,3.5,2.9,1.9
16. 10. 23,36.7,40.7,10.1,4.3,3.5,2.9,1.9
17. 10. 23,37.3,40.7,10.2,4.1,3.3,2.7,1.7
18. 10. 23,38.4,41.0,10.3,3.7,3.0,2.3,1.3
19. 10. 23,39.2,40.7,10.2,3.6,2.9,2.2,1.3
20. 10. 23,40.7,40.7,9.9,3.1,2.5,1.9,1.2
21. 10. 23,40.7,40.7,9.9,3.1,2.5,1.9,1.2
22. 10. 23,40.7,40.7,9.9,3.1,2.5,1.9,1.2
23. 10. 23,40.7,40.7,9.9,3.1,2.5,1.9,1.2
24. 10. 23,40.7,40.7,9.9,3.1,2.5,1.9,1.2
25. 10. 23,40.7,40.7,9.9,3.1,2.5,1.9,1.2
26. 10. 23,40.7,40.7,9.9,3.1,2.5,1.9,1.2
27. 10. 23,40.7,40.7,9.9,3.1,2.5,1.9,1.2
28. 10. 23,40.6,40.5,10.2,3.0,2.5,1.9,1.2
29. 10. 23,40.4,39.9,11.0,3.0,2.5,1.9,1.2
30. 10. 23,40.4,39.9,11.0,3.0,2.5,1.9,1.2
31. 10. 23,39.4,39.4,12.5,3.0,2.5,1.9,1.2
